time	W	Freq	Temp
1615072384.1	6.336	1300000	70.0	
1615072384.3	6.336	1400000	70.0	
1615072384.5	6.336	1300000	70.0	
1615072384.7	6.359	1400000	70.0	
1615072384.9	6.359	1300000	70.0	
1615072385.1	6.359	1400000	70.0	
1615072385.3	6.359	1300000	70.0	
1615072385.5	6.359	1400000	70.0	
1615072385.7	6.359	1300000	70.0	
1615072385.9	6.157	1400000	70.0	
1615072386.1	6.157	1300000	70.0	
1615072386.3	6.157	1400000	70.0	
1615072386.5	6.157	1300000	70.0	
1615072386.7	6.157	1400000	70.0	
1615072386.9	6.202	1300000	70.0	
1615072387.1	6.202	1200000	69.0	
1615072387.3	6.202	1300000	69.0	
1615072387.5	6.202	1400000	69.0	
1615072387.7	6.202	1300000	70.0	
1615072387.9	5.905	1400000	69.0	
1615072388.1	5.905	1300000	70.0	
1615072388.3	5.905	1400000	70.0	
1615072388.5	5.905	1300000	70.0	
1615072388.71	5.905	1400000	70.0	
1615072388.91	6.336	1300000	70.0	
1615072389.11	6.336	1200000	69.0	
1615072389.31	6.336	1300000	69.0	
1615072389.51	6.336	1400000	69.0	
1615072389.71	6.21	1300000	70.0	
1615072389.91	6.21	1400000	69.0	
1615072390.11	6.21	1300000	70.0	
1615072390.31	6.21	1400000	70.0	
1615072390.51	6.21	1300000	70.0	
1615072390.71	6.21	1200000	69.0	
1615072390.91	6.218	1300000	69.0	
1615072391.11	6.218	1400000	69.0	
1615072391.31	6.218	1300000	69.0	
1615072391.51	6.218	1400000	70.0	
1615072391.71	6.218	1300000	70.0	
1615072391.91	6.172	1400000	70.0	
1615072392.11	6.172	1300000	70.0	
1615072392.31	6.172	1400000	70.0	
1615072392.51	6.172	1300000	70.0	
1615072392.71	6.172	1400000	70.0	
1615072392.91	6.344	1300000	70.0	
1615072393.12	6.344	1400000	70.0	
1615072393.32	6.344	1300000	70.0	
1615072393.52	6.344	1200000	69.0	
1615072393.72	5.893	1300000	69.0	
1615072393.92	5.893	1400000	69.0	
1615072394.12	5.893	1300000	70.0	
1615072394.32	5.893	1400000	69.0	
1615072394.52	5.893	1300000	70.0	
1615072394.72	5.893	1400000	69.0	
