time	W	Freq	Temp
1615070933.09	5.92	1300000	70.0	
1615070933.29	5.92	1200000	69.0	
1615070933.49	5.92	1300000	69.0	
1615070933.69	5.92	1400000	70.0	
1615070933.9	5.992	1300000	70.0	
1615070934.1	5.992	1200000	69.0	
1615070934.3	5.992	1300000	69.0	
1615070934.5	5.992	1400000	70.0	
1615070934.7	6.386	1300000	69.0	
1615070934.9	6.386	1400000	70.0	
1615070935.1	6.386	1300000	70.0	
1615070935.3	6.386	1200000	69.0	
1615070935.5	6.386	1300000	69.0	
1615070935.7	6.386	1400000	70.0	
1615070935.9	5.725	1300000	70.0	
1615070936.1	5.725	1200000	69.0	
1615070936.3	5.725	1300000	69.0	
1615070936.5	5.725	1400000	70.0	
1615070936.7	5.725	1300000	70.0	
1615070936.9	6.473	1400000	70.0	
1615070937.1	6.473	1300000	70.0	
1615070937.3	6.473	1200000	69.0	
1615070937.5	6.473	1300000	69.0	
1615070937.7	6.473	1400000	70.0	
1615070937.9	6.325	1300000	70.0	
1615070938.1	6.325	1200000	69.0	
1615070938.3	6.325	1300000	69.0	
1615070938.51	6.325	1400000	70.0	
1615070938.71	6.447	1300000	70.0	
1615070938.91	6.447	1200000	69.0	
1615070939.11	6.447	1300000	69.0	
1615070939.31	6.447	1400000	70.0	
1615070939.51	6.447	1300000	69.0	
1615070939.71	6.37	1400000	70.0	
1615070939.91	6.37	1300000	70.0	
1615070940.11	6.37	1400000	70.0	
1615070940.31	6.37	1300000	70.0	
1615070940.51	6.37	1200000	69.0	
1615070940.71	6.37	1300000	69.0	
1615070940.91	5.924	1400000	70.0	
1615070941.11	5.924	1300000	70.0	
1615070941.31	5.924	1200000	69.0	
1615070941.51	5.924	1300000	69.0	
1615070941.71	5.924	1400000	70.0	
1615070941.91	6.195	1300000	70.0	
1615070942.11	6.195	1200000	69.0	
1615070942.31	6.195	1300000	69.0	
1615070942.51	6.195	1400000	70.0	
1615070942.71	6.451	1300000	70.0	
1615070942.91	6.451	1200000	69.0	
